作业成绩：

2019211004	50	46	50	50	50	50	47	47	50	50	45	50	50	635
2019211012	50	46	48	49	50	50	0	46	34	50	50	50	50	573
2019211013	50	50	49	50	50	50	50	49	49	48	50	50	50	645
2019211019	43	47	48	0	0	0	0	0	0	0	0	0	0	138
2019211022	0	49	50	50	50	50	50	49	48	50	50	50	50	596
2019211028	36	41	0	0	0	0	0	0	0	0	0	0	0	77
2019211037	50	45	48	50	50	50	50	50	50	50	50	50	50	643
2019211052	50	46	43	48	50	50	42	48	29	48	50	50	49	603
2019211059	50	49	46	50	50	47	47	49	48	50	50	50	50	636
2019211070	46	49	42	50	46	47	31	47	34	48	49	50	50	589
2019213211	50	45	45	50	50	50	43	48	44	50	50	50	41	616
201928013822002	43	48	39	50	48	50	30	48	34	50	47	50	50	587
201928013822003	43	44	39	46	43	45	35	43	28	50	45	50	50	561
43099061	43	45	48	32	45	45	39	45	27	50	49	50	0	518
86225892	50	50	50	50	50	50	50	50	50	50	50	50	50	650
38789671	50	48	50	48	50	50	50	50	0	50	47	50	50	593
45875852	50	49	50	49	50	50	45	49	40	50	50	50	50	632
49440919	50	46	44	49	50	50	50	48	49	50	47	50	50	633
60501405	48	0	0	0	0	0	0	0	0	0	0	0	0	48
29736935	50	44	39	49	43	50	50	50	47	45	50	50	49	616
45971989	50	48	50	48	50	50	50	50	50	50	48	50	50	644
59273685	43	50	50	50	50	50	50	50	50	50	50	50	50	643
47029417	38	50	50	50	50	50	50	49	49	50	49	50	50	635
44988701	50	44	45	50	50	50	42	47	50	50	50	50	50	628
87909547	50	46	48	50	50	50	50	46	0	48	48	0	0	486
